IP,Tentativas Falhas

URL,Acessos
www.youtube.com:443,27
push.services.mozilla.com:443,12
incoming.telemetry.mozilla.org:443,8
ads.mozilla.org:443,7
www.google.com:443,5
content001.bet365.com:443,5
lh3.googleusercontent.com:443,4
googleads.g.doubleclick.net:443,3
www.gstatic.com:443,3
fonts.gstatic.com:443,3
premws-pt4.365lpodds.com:443,3
http://google.com/,2
i.ytimg.com:443,2
www.google.com.uy:443,2
static.doubleclick.net:443,2
encrypted-tbn0.gstatic.com:443,2
pshudws.365lpodds.com:443,2
ogads-pa.clients6.google.com:443,2
play.google.com:443,2
safebrowsing.googleapis.com:443,2
http://proxy.tidahora.com.br:3128/squid-internal-static/icons/SN.png,1
http://google.com/favicon.ico,1
firefox-settings-attachments.cdn.mozilla.net:443,1
firefox.settings.services.mozilla.com:443,1
fonts.googleapis.com:443,1
youtube.com:443,1
error:transaction-end-before-headers,1
www.casinoclubonline.bet.ar:443,1
csp.withgoogle.com:443,1
www.googleadservices.com:443,1
www.bet365.com:443,1
accounts.google.com:443,1
